trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
158,False,"{'a': 0.7, 'e': 0.20434346174623946}",25,12,-11.543266197548816,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
159,False,"{'a': 0.7, 'e': 0.2023000271287771}",25,13,-33.24481182781833,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
160,False,"{'a': 0.7, 'e': 0.20027702685748933}",35,0,-16.864255746503066,"{0: 32, 1: 1, 2: 0, 3: 1, 4: 1}",0
161,False,"{'a': 0.7, 'e': 0.19827425658891443}",30,1,14.79876669588167,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 0}",1
162,False,"{'a': 0.7, 'e': 0.19629151402302528}",20,13,11.971752064300485,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.7, 'e': 0.19432859888279502}",20,11,19.235144836771813,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.7, 'e': 0.19238531289396707}",20,16,6.85117119278162,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.7, 'e': 0.1904614597650274}",35,2,50.63395493681003,"{0: 33, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.7, 'e': 0.1885568451673771}",25,0,-24.830344704187723,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
167,False,"{'a': 0.7, 'e': 0.18667127671570335}",20,10,17.428442572294564,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.7, 'e': 0.1848045639485463}",25,10,10.804738821784024,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.7, 'e': 0.18295651830906084}",20,14,-2.9618415003318708,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.7, 'e': 0.18112695312597024}",30,23,5.889319078566025,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.7, 'e': 0.17931568359471053}",25,13,9.964543132930771,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.7, 'e': 0.17752252675876343}",25,13,25.78564180067496,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.7, 'e': 0.1757473014911758}",20,6,15.77755049465654,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.7, 'e': 0.17398982847626404}",30,16,0.31607639687116507,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
175,False,"{'a': 0.7, 'e': 0.1722499301915014}",25,15,-20.922371899166098,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
176,False,"{'a': 0.7, 'e': 0.17052743088958636}",30,20,19.349493673388547,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.7, 'e': 0.1688221565806905}",25,11,26.298989760040833,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.7, 'e': 0.1671339350148836}",25,14,19.915109754186034,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.7, 'e': 0.16546259566473476}",20,3,21.977510447449667,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.7, 'e': 0.16380796970808742}",30,17,26.344931377173303,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.7, 'e': 0.16216989001100654}",20,9,21.45796316552893,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.7, 'e': 0.16054819111089647}",20,13,13.666028864430926,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
